Nome,tipo
EU DA SILVA                                                                     ,0
PRISCILASDUTRAHOTMAILOM                                                         ,0
ANDERSONLASPERGHOTMAILCOM                                                       ,0
TESTEEEEESS                                                                     ,0
TESTEEEEE                                                                       ,0
FALECIDA                                                                        ,0
TESTEE                                                                          ,0
TESTETESTEEEEEEEEEE                                                             ,0
MEU CADASTRO                                                                    ,0
ALGUEM DE SOUZA DALGUEM                                                         ,0
SILVIO ROBERTO VOCE                                                             ,0
RENATADUQUEHOTMAILCOM                                                           ,0
JANEPIMENTELFURTADODOSSANTOS                                                    ,0
JANEPIMRNTELFURTADODOSSANTOS                                                    ,0
A                                                                               ,0
FALECIDO                                                                        ,0
JORGETEIXEIRADAFONSECA                                                          ,0
CLIENTE FALECIDO NAO FALAR                                                      ,0
ALEXANDREMEIRELLES                                                              ,0
O USUARIO MENOR DE IDADE AINDA NAO POSSUI CADASTRO NO CADIN E NUNCA RECLAMOU    ,0
VVVVVVVVVV                                                                      ,0
FALECIDO FALECIDO                                                               ,0
H42 H42                                                                         ,0
NELDAKNAULSILVEIRA                                                              ,0
M VASCAINO                                                                      ,0
O MESMO                                                                         ,0
WORKMARK                                                                        ,0
ELIKACOSTAPEIXOTO                                                               ,0
DOUGLASROMERODESOUZA                                                            ,0
EDYRMENDES                                                                      ,0
ELIANESILVA                                                                     ,0
TESTEEEEEW                                                                      ,0
AELXANDRA                                                                       ,0
FAMILIS                                                                         ,0
MARTAMARUMYOSAKIDEALMEIDANETO                                                   ,0
NIELE                                                                           ,0
FALECIDA                                                                        ,0
MARSELHA                                                                        ,0
MARIACRISTINADASILVAALBUQUERQUE                                                 ,0
LOURDILEADEMARIALOUZEIROMONTEIR                                                 ,0
NORMACRUZDOSSANTOS                                                              ,0
ROSENILLIMAIGCOMBR                                                              ,0
NIRVAARAUJONEVES                                                                ,0
FRANKLINDELANOROOSEVELTSANTOSBA                                                 ,0
TESTE DE ASSINATURA ONLINE                                                      ,0
TESTE DE ASSINATURA ONLINE CPW                                                  ,0
CLIENTE FALECIDA NAO FALAR                                                      ,0
BANZE BANZE                                                                     ,0
ADRIANAFREITAS                                                                  ,0
NAO PODE FALAR JORGE DE ALMEIDA                                                 ,0
GAVANE                                                                          ,0
CACALA                                                                          ,0
GLAICELAMARAOYAHOOCOMBR                                                         ,0
LUCIANA TESTE                                                                   ,0
ANAS                                                                            ,0
DAVIGH                                                                          ,0
DANADINHO                                                                       ,0
AAAAAAAAAAAAA                                                                   ,0
NADIAPAULAOLIVEIRASALVIANO                                                      ,0
TESTE ON LINE                                                                   ,0
CL FALECIDO NAO FALAR                                                           ,0
MATILDESOUSARANGEL                                                              ,0
ADALBERTOBATISTAARANTES                                                         ,0
EGIONE                                                                          ,0
GLAUCIARMARQUES                                                                 ,0
EGUIMARAES                                                                      ,0
LUIZFERNANDOFERNANDESGONCALVES                                                  ,0
